;AutoSpike-32 ASCII File
;1
; Wave data Signal sim_L4_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.055104	-38
0.055156	-40
0.055208	29
0.055260	-11
0.055313	-48
0.055365	-28
0.055417	-48
0.055469	-42
0.055521	-29
0.055573	-21
0.055625	-24
0.055677	-67
0.055729	-28
0.055781	-48
0.055833	-10
0.055885	31
0.055938	-21
0.055990	-68
0.056042	-52
0.056094	-1
0.056146	-20
0.056198	-44
0.056250	32
0.056302	0
0.056354	-24
0.056406	21
0.056458	68
0.056510	-56
0.056563	-108
0.056615	1
0.056667	21
0.056719	-7
0.056771	-64
0.056823	-46
0.056875	-10
0.056927	-82
0.056979	9
0.057031	-45
0.057083	-69
0.057135	-19
0.057188	-5
0.057240	-55
0.057292	-86
0.057344	58
0.057396	27
0.057448	-33
0.057500	-30
0.057552	-4
0.057604	7
0.057656	-62
0.057708	5
0.057760	16
0.057813	-31
0.057865	-7
0.057917	4
0.057969	-44
0.058021	-48
0.058073	4
0.058125	17
0.058177	-28
0.058229	6
0.058281	73
0.058333	-67
0.058385	-42
0.058438	-51
0.058490	-49
0.058542	-32
0.058594	-64
0.058646	19
0.058698	-49
0.058750	-27
0.058802	-14
0.058854	16
0.058906	-25
0.058958	-17
0.059010	-43
0.059063	-51
0.059115	-44
0.059167	12
0.059219	8
0.059271	-103
0.059323	-66
0.059375	8
0.059427	-14
0.059479	-41
0.059531	-8
0.059583	-17
0.059635	-3
0.059688	-53
0.059740	-9
0.059792	-60
0.059844	-15
0.059896	10
0.059948	19
0.060000	-56
0.060052	-51
0.060104	11
0.060156	-41
0.060208	-82
0.060260	50
0.060313	-16
0.060365	-63
0.060417	-27
0.060469	-77
0.060521	-29
0.060573	-46
0.060625	12
0.060677	-1
0.060729	-41
0.060781	-22
0.060833	7
0.060885	-12
0.060938	-61
0.060990	17
0.061042	-17
0.061094	-31
0.061146	-48
0.061198	47
0.061250	-14
0.061302	-72
0.061354	-20
0.061406	-45
0.061458	-46
0.061510	-30
0.061563	-5
0.061615	-59
0.061667	-12
0.061719	-50
0.061771	12
0.061823	-29
0.061875	-51
0.061927	-9
0.061979	-5
0.062031	-26
0.062083	-41
0.062135	-38
0.062188	-65
0.062240	-19
0.062292	39
0.062344	-35
0.062396	-64
0.062448	5
0.062500	-39
0.062552	-80
0.062604	-32
0.062656	35
0.062708	2
0.062760	-38
0.062813	72
0.062865	-27
0.062917	-62
0.062969	-8
0.063021	31
0.063073	-62
0.063125	-34
0.063177	0
0.063229	-51
0.063281	8
0.063333	30
0.063385	4
0.063438	-25
0.063490	-44
0.063542	-27
0.063594	-76
0.063646	-98
0.063698	-96
0.063750	-36
0.063802	-65
0.063854	-91
0.063906	28
0.063958	15
0.064010	-55
0.064063	-15
0.064115	-9
0.064167	-35
0.064219	-57
0.064271	4
0.064323	8
0.064375	37
0.064427	-56
0.064479	-47
0.064531	22
0.064583	-87
0.064635	3
0.064688	-107
0.064740	-113
0.064792	-77
0.064844	-31
0.064896	-28
0.064948	-15
0.065000	29
0.065052	-19
0.065104	-89
0.065156	-25
0.065208	7
0.065260	-35
0.065313	-20
0.065365	19
0.065417	-15
0.065469	-11
0.065521	8
0.065573	69
0.065625	1
0.065677	-53
0.065729	2
0.065781	-33
0.065833	-99
0.065885	7
0.065938	-17
0.065990	-61
0.066042	-73
0.066094	34
0.066146	-88
0.066198	-111
0.066250	-20
0.066302	-53
0.066354	-43
0.066406	-8
0.066458	-33
0.066510	-77
0.066563	-94
0.066615	-21
0.066667	-7
0.066719	-90
0.066771	-29
0.066823	70
0.066875	-49
0.066927	-79
0.066979	-16
0.067031	-10
0.067083	-65
0.067135	6
0.067188	60
0.067240	29
0.067292	-27
0.067344	-37
0.067396	8
0.067448	22
0.067500	-52
0.067552	-37
0.067604	-33
0.067656	-77
0.067708	37
0.067760	14
0.067813	-26
0.067865	-8
0.067917	11
0.067969	-57
0.068021	-55
0.068073	26
0.068125	31
0.068177	-27
0.068229	-27
0.068281	4
0.068333	-16
0.068385	-73
0.068438	-52
0.068490	-85
0.068542	-53
0.068594	-23
0.068646	34
0.068698	-12
0.068750	-72
0.068802	-44
0.068854	-30
0.068906	-12
0.068958	-10
0.069010	10
0.069063	-70
0.069115	-23
0.069167	60
0.069219	-43
0.069271	-86
0.069323	-51
0.069375	1
0.069427	-54
0.069479	-93
0.069531	-1
0.069583	-75
0.069635	-37
0.069688	-61
0.069740	30
0.069792	-62
0.069844	-37
0.069896	2
0.069948	17
0.070000	-27
0.070052	-15
0.070104	20
0.070156	-55
0.070208	-81
0.070260	-61
0.070313	-24
0.070365	-29
0.070417	14
0.070469	39
0.070521	-48
0.070573	-27
0.070625	-26
0.070677	-89
0.070729	-70
0.070781	-86
0.070833	-56
0.070885	55
