;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L2_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.064323	-54
0.064375	27
0.064427	40
0.064479	-83
0.064531	-69
0.064583	-13
0.064635	-21
0.064688	-39
0.064740	28
0.064792	8
0.064844	-56
0.064896	-81
0.064948	-12
0.065000	-78
0.065052	-94
0.065104	-21
0.065156	11
0.065208	-46
0.065260	-59
0.065313	-70
0.065365	-88
0.065417	-3
0.065469	0
0.065521	-63
0.065573	-95
0.065625	-17
0.065677	12
0.065729	-80
0.065781	-68
0.065833	4
0.065885	-33
0.065938	-62
0.065990	-53
0.066042	-48
0.066094	-49
0.066146	-21
0.066198	3
0.066250	32
0.066302	5
0.066354	-51
0.066406	3
0.066458	-14
0.066510	-59
0.066563	35
0.066615	-74
0.066667	-45
0.066719	31
0.066771	-38
0.066823	-40
0.066875	-63
0.066927	3
0.066979	-61
0.067031	-61
0.067083	-6
0.067135	-20
0.067188	-82
0.067240	-37
0.067292	-4
0.067344	-110
0.067396	-44
0.067448	20
0.067500	-40
0.067552	-64
0.067604	-12
0.067656	-27
0.067708	-45
0.067760	-97
0.067813	-38
0.067865	-72
0.067917	-56
0.067969	-17
0.068021	30
0.068073	-31
0.068125	-39
0.068177	-20
0.068229	-53
0.068281	-109
0.068333	31
0.068385	-19
0.068438	-52
0.068490	-10
0.068542	-70
0.068594	-84
0.068646	-13
0.068698	38
0.068750	-66
0.068802	3
0.068854	73
0.068906	-4
0.068958	-75
0.069010	-37
0.069063	0
0.069115	-60
0.069167	-55
0.069219	48
0.069271	-25
0.069323	-40
0.069375	-10
0.069427	29
0.069479	-35
0.069531	-57
0.069583	-17
0.069635	-50
0.069688	-102
0.069740	-2
0.069792	-35
0.069844	-38
0.069896	-57
0.069948	-89
0.070000	-66
0.070052	-25
0.070104	45
0.070156	-24
0.070208	-78
0.070260	-60
0.070313	5
0.070365	-74
0.070417	-65
0.070469	-37
0.070521	-59
0.070573	-67
0.070625	3
0.070677	-52
0.070729	-69
0.070781	-67
0.070833	-25
0.070885	-17
0.070938	-73
0.070990	-18
0.071042	2
0.071094	-92
0.071146	-69
0.071198	16
0.071250	-44
0.071302	-53
0.071354	-53
0.071406	-41
0.071458	-43
0.071510	-100
0.071563	-32
0.071615	-60
0.071667	-52
0.071719	14
0.071771	-7
0.071823	-70
0.071875	-26
0.071927	-82
0.071979	21
0.072031	-40
0.072083	-8
0.072135	-42
0.072187	-64
0.072240	-13
0.072292	-22
0.072344	-21
0.072396	4
0.072448	47
0.072500	-13
0.072552	-92
0.072604	-46
0.072656	7
0.072708	-46
0.072760	15
0.072812	-49
0.072865	-16
0.072917	-112
0.072969	-15
0.073021	-25
0.073073	-40
0.073125	-24
0.073177	5
0.073229	-83
0.073281	-116
0.073333	-28
0.073385	-40
0.073437	-63
0.073490	30
0.073542	14
0.073594	-90
0.073646	-95
0.073698	-34
0.073750	-69
0.073802	-79
0.073854	-11
0.073906	39
0.073958	-63
0.074010	-33
0.074062	3
0.074115	-92
0.074167	-76
0.074219	-3
0.074271	-47
0.074323	-77
0.074375	-47
0.074427	-64
0.074479	-74
0.074531	-81
0.074583	-46
0.074635	-20
0.074687	-62
0.074740	29
0.074792	-58
0.074844	-123
0.074896	-33
0.074948	55
0.075000	10
0.075052	-12
0.075104	42
0.075156	-10
0.075208	-54
0.075260	-10
0.075312	-30
0.075365	-47
0.075417	-81
0.075469	-37
0.075521	-29
0.075573	-40
0.075625	16
0.075677	-45
0.075729	-60
0.075781	-106
0.075833	-33
0.075885	-84
0.075937	-83
0.075990	10
0.076042	-32
0.076094	-121
0.076146	-61
0.076198	-4
0.076250	3
0.076302	-73
0.076354	-7
0.076406	-44
0.076458	-119
0.076510	-69
0.076562	13
0.076615	-22
0.076667	-77
0.076719	21
0.076771	-46
0.076823	-63
0.076875	7
0.076927	28
0.076979	-86
0.077031	-28
0.077083	-42
0.077135	1
0.077187	-40
0.077240	-20
0.077292	-15
0.077344	-36
0.077396	-27
0.077448	-34
0.077500	-50
0.077552	-87
0.077604	12
0.077656	-27
0.077708	-88
0.077760	-54
0.077812	-35
0.077865	-70
0.077917	-71
0.077969	7
0.078021	-78
0.078073	-74
0.078125	27
0.078177	-16
0.078229	-79
0.078281	-13
0.078333	7
0.078385	-43
0.078437	-38
0.078490	57
0.078542	-36
0.078594	-87
0.078646	-40
0.078698	-27
0.078750	-35
0.078802	-89
0.078854	4
0.078906	-58
0.078958	-36
0.079010	-19
0.079062	-35
0.079115	-126
0.079167	-68
0.079219	-37
0.079271	-114
0.079323	-100
0.079375	44
0.079427	28
0.079479	-7
0.079531	63
0.079583	73
0.079635	-54
0.079687	-20
0.079740	7
0.079792	-30
0.079844	-107
0.079896	-23
0.079948	-19
0.080000	13
0.080052	-17
0.080104	39
0.080156	-26
0.080208	-43
0.080260	-11
0.080312	-68
0.080365	-71
0.080417	-53
0.080469	-6
0.080521	-81
0.080573	-57
0.080625	-6
0.080677	11
0.080729	-45
0.080781	-56
0.080833	36
0.080885	-46
0.080937	-73
0.080990	17
0.081042	-36
0.081094	-44
0.081146	-23
0.081198	-24
0.081250	14
0.081302	-21
0.081354	46
0.081406	-67
0.081458	-77
0.081510	-95
0.081562	-51
0.081615	-85
0.081667	-34
0.081719	25
0.081771	-37
0.081823	-80
0.081875	20
0.081927	-5
0.081979	8
0.082031	11
0.082083	5
